product,quantity,rating,number of ratings,price,brand
Bgr 34 Tablet,bottle of 100 tablets,4.2,1082,546.0,Bgr
1mg Karela Pure Natural Extract 500mg Capsule,bottle of 60 capsules,4.2,205,198.0,1mg
Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,bottle of 22 ml Drop,4.7,81,243.5,Dr.Reckeweg
SBL Syzygium Jambolanum Mother Tincture Q,bottle of 30 ml Mother Tincture,4.6,89,96.0,SBL
Dhootapapeshwar Madhumeha Kusumakar Rasa,box of 30 tablets,4.3,126,660.0,Dhootapapeshwar
Sugar Free Green Stevia Pellets,bottle of 300 pellets,4.3,524,184.9,Sugar
SBL Dibonil Drop,bottle of 30 ml Drop,4.6,80,108.45,SBL
IME 9 Tablet,bottle of 60 tablets,4.1,902,267.0,IME
Tata 1mg Ceylon Cinnamon 10:1 Ratio Extract for Blood Sugar Management 200mg Capsule,bottle of 30 capsules,4.4,55,99.0,Tata
So Sweet Stevia Sugar Free Tablet,bottle of 500 tablets,4.0,160,374.0,So
Dabur GlycoDab Tablet,bottle of 60 tablets,4.2,90,290.0,Dabur
Himalaya Diabecon Tablet,bottle of 60 tablets,4.1,92,124.0,Himalaya
SBL Gymnema Sylvestre Mother Tincture Q,bottle of 30 ml Mother Tincture,4.6,31,97.0,SBL
Dr. Reckeweg Syzygium Jamb Mother Tincture Q,bottle of 20 ml Mother Tincture,4.7,27,228.05,Dr.Reckeweg
Baidyanath Mahayograj Guggulu Tablet,strip of 40 tablets,4.1,77,196.0,Baidyanath
SBL Diaboherb Capsule,box of 100 capsules,0.0,0,362.0,SBL
ADEL 18 Glucorect Drop,bottle of 20 ml Drop,3.7,18,265.1,ADEL
Dabur Vasant Kusumakar Ras with Gold & Pearl Tablet,bottle of 100 tablets,4.1,108,4680.0,Dabur
SBL Cephalandra Indica Mother Tincture Q,bottle of 30 ml Mother Tincture,4.9,23,97.0,SBL
Baidyanath Laxmivilas Ras Tablet,bottle of 40 tablets,4.3,95,120.0,Baidyanath
Bjain Syzygium Jambolanum Mother Tincture Q,bottle of 100 ml Mother Tincture,4.7,31,179.55,Bjain
Dr Willmar Schwabe India Syzygium Jambolanum Trituration Tablet 1X,bottle of 20 gm Trituration Tablet,4.7,20,155.8,DrWillmar
Sri Sri Tattva Nishamalaki Tablet,bottle of 60 tablets,4.5,83,125.0,Sri
Berbeshine Tablet,strip of 10 tablets,4.1,35,230.98,Berbeshine
SBL Dibonil Tablet,bottle of 25 gm Tablet,4.4,22,135.2,SBL
SBL Abroma Augusta Mother Tincture Q,bottle of 30 ml Mother Tincture,4.9,17,97.0,SBL
Dhootapapeshwar Shilapravang (with Mouktik) Tablet,bottle of 100 tablets,4.1,40,386.0,Dhootapapeshwar
Dabur Madhu Rakshak,bottle of 250 gm Powder,4.2,88,319.0,Dabur
Bakson's Diab Aid Drop,bottle of 30 ml Drop,4.7,25,155.0,Bakson's
SBL Bio-Combination 7 Tablet,bottle of 25 gm Biocombination Tablet,4.6,8,91.85,SBL
Baidyanath Madhumehari Controls Blood Glucose Levels Naturally,bottle of 200 gm Powder,4.3,93,295.0,Baidyanath
Dr. Reckeweg Diabetic Care Combo (R40 + Syzygium Jamb Mother Tincture),packet of 1 Kit,4.0,5,456.0,Dr.Reckeweg
ADEL Acid Phos Mother Tincture Q,bottle of 20 ml Mother Tincture,4.3,8,243.5,ADEL
Dr Willmar Schwabe India Uranium Nitricum Trituration Tablet 4X,bottle of 20 gm Trituration Tablet,4.8,9,121.75,DrWillmar
SBL Syzygium Jambolanum Trituration Tablet 1X,bottle of 25 gm Trituration Tablet,4.5,11,136.23,SBL
"Baidyanath Basant Kusumakar Ras (S.C.M.Yu) with Gold, Silver & Pearl Maintains Blood Glucose Level",bottle of 25 tablets,4.0,210,1040.0,Baidyanath
SBL Ceanothus Americanus Mother Tincture Q,bottle of 30 ml Mother Tincture,4.7,7,296.0,SBL
Dr. Reckeweg Bio-Combination 7 (BC 7) Tablet,bottle of 20 gm Biocombination Tablet,4.9,13,165.1,Dr.Reckeweg
Bhargava Diaboral Tablet,box of 60 tablets,4.0,5,147.5,Bhargava
Unjha Makardhwaj Vati (Gold Coated),box of 30 tablets,4.5,13,751.0,Unjha
ADEL Syzygium Jambolanum Mother Tincture Q,bottle of 20 ml Mother Tincture,0.0,0,246.0,ADEL
Himalaya Koflet-SF Linctus,bottle of 100 ml Linctus,4.5,55,80.0,Himalaya
SBL Ammi Visnaga Mother Tincture Q,bottle of 30 ml Mother Tincture,0.0,0,170.0,SBL
Wheezal WL11 Diabetes Drop,bottle of 30 ml Drop,4.8,8,158.9,Wheezal
Dr. Reckeweg Gymnema Syl Mother Tincture Q,bottle of 20 ml Mother Tincture,0.0,0,228.05,Dr.Reckeweg
Dr Willmar Schwabe India Pancreatinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,4.9,9,122.0,DrWillmar
Allen A08 Diabetes Drop,bottle of 30 ml Drop,0.0,0,152.0,Allen
Meghdoot Madhu Shoonya Tablet,bottle of 50 tablets,4.0,31,192.85,Meghdoot
Alma Sugar Free Tablet Low Calorie Sweetener,bottle of 650 tablets,4.3,18,549.0,Alma
Planet Ayurveda Phyllanthus Niruri Capsule,bottle of 60 capsules,0.0,0,1215.0,Planet
Dr. Reckeweg Ammi Visn Mother Tincture Q,bottle of 20 ml Mother Tincture,4.8,6,232.05,Dr.Reckeweg
Bakson B20 Sugar Drop,bottle of 30 ml Drop,4.7,6,155.8,Bakson
SBL Insulinum Dilution 30 CH,bottle of 30 ml Dilution,4.8,6,90.0,SBL
